Name,helmet,cape,amulet,weapon,body,sheild,Equip7,legs,Equip9,gloves,boots,Equip12,Loc_x,Loc_y,Anim_id,Chat_response,Overall,Attack,Defence,Strength,Hitpoints,Ranged,Prayer,Magic,Cooking,Woodcutting,Fletching,Fishing,Firemaking,Crafting,Smithing,Mining,Herblore,Agility,Thieving,Slayer,Farming,Runecrafting,Hunter,Construction,Location
Necab0,2673,-1,552,1333,1113,2675,-1,2671,-1,-1,-1,-1,3243,3150,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
1SkipLegDay,1163,-1,-1,1333,1127,1201,-1,1079,-1,-1,-1,-1,3241,3149,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
maleficente2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3239,3147,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
37bronze2792,-1,-1,-1,1329,1101,-1,-1,1067,-1,-1,-1,-1,3228,3162,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
only10HPiron,12810,1007,1654,9705,12811,-1,-1,12812,-1,1059,1061,-1,3242,3149,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
liderstill55,1153,4405,1009,1349,1113,1201,-1,1079,-1,-1,1061,-1,3244,3152,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
IchiBxndit,1949,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3241,3149,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
20summon1079,1153,-1,-1,1329,1115,1191,-1,1067,-1,-1,-1,-1,3226,3161,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
rafaeduar,-1,-1,-1,1359,-1,-1,-1,-1,-1,-1,1061,-1,3239,3147,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Fancy pantzs,1153,1021,1731,1323,1115,1191,-1,1067,-1,-1,-1,-1,3223,3147,624,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
SteffanySanz,-1,-1,-1,1277,-1,1171,-1,-1,-1,-1,-1,-1,3242,3149,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
CovidSocials,-1,-1,-1,1277,-1,1171,-1,-1,-1,-1,-1,-1,3242,3149,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
GuthRibi,-1,-1,-1,1277,-1,1171,-1,-1,-1,-1,-1,-1,3242,3149,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
YupzuLegal,-1,-1,-1,1277,-1,1171,-1,-1,-1,-1,-1,-1,3242,3149,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Farm 4 bonds,-1,-1,-1,1349,-1,-1,-1,-1,-1,-1,-1,-1,3239,3147,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
13postiedan,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3231,3145,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
97purgepig,1137,-1,-1,1329,1101,1191,-1,1067,-1,1063,-1,-1,3223,3158,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Rage Pwn 196,-1,-1,-1,1265,-1,9704,-1,-1,-1,-1,-1,-1,3223,3147,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
maita1204jef,-1,-1,1731,1351,-1,-1,-1,-1,-1,-1,-1,-1,3243,3150,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
WallopMyNUTZ,-1,-1,-1,1422,-1,1171,-1,-1,-1,-1,-1,-1,3244,3152,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Peter Pizman,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3223,3147,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Daniela09123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3239,3147,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
20 Worn 1049,1153,-1,-1,1329,1115,1191,-1,1067,-1,-1,-1,-1,3226,3162,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
4candle2981,-1,-1,-1,22358,-1,-1,-1,-1,-1,-1,-1,-1,3241,3143,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
lairet H G,1153,-1,552,12297,-1,1171,-1,-1,-1,-1,-1,-1,3229,3147,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
hugo luis,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3243,3150,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
thdonato,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3239,3146,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
ashie2323,1141,-1,1009,1265,1105,1173,-1,-1,-1,1059,1061,-1,3230,3146,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Fortnite skz,1153,1021,1731,1267,1115,1191,-1,1067,-1,-1,-1,-1,3223,3147,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
maryxd78,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3228,3145,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
57feast1927,1153,-1,-1,1329,1115,1191,-1,1067,-1,-1,-1,-1,3226,3162,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
luciandre46,1155,-1,-1,1273,1117,1173,-1,1075,-1,-1,-1,-1,3223,3147,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
hotdggitydog,579,1019,-1,1297,1105,1193,-1,-1,-1,1059,1061,-1,3224,3148,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
kannaklown,1057,-1,552,1325,-1,1173,-1,-1,-1,-1,-1,-1,3242,3149,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Devocel,1153,-1,1727,1323,1119,1181,-1,1067,-1,2932,1061,-1,3244,3152,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
AlloutBlazin,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3230,3148,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
89willow2897,1153,-1,-1,1329,1115,1191,-1,1067,-1,-1,-1,-1,3225,3161,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
NotAHuman23,1157,1019,10364,1297,1119,1193,-1,1077,-1,-1,-1,-1,3242,3149,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
jcangrejo,1163,1019,1731,1361,1127,1201,-1,1079,-1,1063,1061,-1,3243,3150,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
victor0614,1165,1007,1731,1327,1125,2659,-1,1077,-1,-1,1061,-1,3241,3143,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
m3rmaidz,-1,-1,-1,1265,-1,1173,-1,-1,-1,-1,-1,-1,3241,3161,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
NO Swarley,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3243,3150,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Ann2020,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3239,3146,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Lyli30,1159,-1,-1,1329,1121,1197,-1,1071,-1,1063,1061,-1,3244,3157,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
LeahPetals,-1,-1,552,-1,-1,-1,-1,-1,-1,-1,-1,-1,3237,3156,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
FireflyJayOS,579,-1,-1,1351,-1,-1,-1,-1,-1,-1,-1,-1,3240,3152,897,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
jhenuz,10296,-1,-1,-1,23366,1197,-1,-1,-1,-1,-1,-1,3229,3147,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
ifishcash69,12231,-1,-1,1323,12225,12233,-1,12227,-1,-1,-1,-1,3242,3149,621,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
AlexCKS99,1949,-1,1009,1327,-1,1173,-1,-1,-1,-1,-1,-1,3232,3160,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Exer713,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3228,3145,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
arp87,1141,-1,552,1267,1105,1173,-1,1067,-1,-1,-1,-1,3223,3147,626,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Putthanos,-1,-1,-1,1277,-1,1173,-1,-1,-1,-1,-1,-1,3226,3148,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
diegorodrigu,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3223,3147,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Fatepurge842,1137,-1,-1,1329,1101,1191,-1,1067,-1,1063,-1,-1,3222,3157,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Fireelf2157,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3223,3147,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
astrid mic,1139,-1,-1,841,1101,-1,-1,-1,-1,-1,-1,-1,3295,3350,426,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Kokotero8,1949,-1,-1,1265,-1,1171,-1,-1,-1,-1,-1,-1,3289,3362,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Brulbro41t,-1,-1,-1,1265,1117,-1,-1,-1,-1,-1,-1,-1,3288,3369,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
NerdsFriend,1017,-1,1009,1277,-1,1173,-1,-1,-1,-1,-1,-1,3287,3366,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
pheonix72407,1137,1019,1009,1267,1101,1189,-1,1067,-1,1063,1061,-1,3290,3378,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
gfrfhyh1243,2627,-1,-1,1271,-1,1181,-1,-1,-1,-1,7596,-1,3282,3363,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
PUMG,1165,-1,1478,1327,1125,1195,-1,1077,-1,1059,9005,-1,3289,3369,1156,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Pandabear212,1155,-1,552,1375,1119,1189,-1,6181,-1,-1,1061,-1,3283,3368,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
420jogador13,1155,-1,-1,1375,-1,1173,-1,-1,-1,-1,-1,-1,3288,3365,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
anmaryta,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3284,3369,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
santorini21,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3287,3366,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
angelicacede,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3283,3365,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
KILOTIN,-1,-1,-1,1271,-1,-1,-1,-1,-1,-1,-1,-1,3287,3364,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
indriago2384,1949,-1,-1,1351,-1,1171,-1,-1,-1,-1,-1,-1,3277,3372,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
andyduga0809,-1,-1,-1,1271,-1,-1,-1,-1,-1,-1,-1,-1,3285,3370,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
ahmadali0005,-1,-1,1729,-1,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Kimgpersian,1141,-1,-1,1281,-1,1173,-1,-1,-1,1059,-1,-1,3291,3352,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Sasslemiri66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,629,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
elnegroN1,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3285,3370,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
BRIHTNEY3132,5527,1019,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3286,3365,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
iiixMAXxiii,12221,-1,23309,1265,12215,-1,-1,12217,-1,2902,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
T omasawa,-1,-1,-1,1275,-1,-1,-1,-1,-1,-1,-1,-1,3290,3375,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
70good2528,1169,-1,1731,1265,1133,-1,-1,1099,-1,1065,1061,-1,3287,3366,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
WarFury21,-1,-1,1731,1271,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Salina Amor,-1,-1,552,1265,-1,1171,-1,-1,-1,-1,-1,-1,3284,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Greggyfart1,-1,4413,1725,1271,-1,-1,-1,-1,-1,1063,9005,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
davester116,1161,1019,1731,12297,1123,1199,-1,1073,-1,1059,7596,-1,3285,3370,3873,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Not2Old,1141,1019,1731,1269,1115,1191,-1,1067,-1,1063,1061,-1,3287,3366,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Pacha85254,2613,4353,1725,1275,2607,-1,-1,2609,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
yonoseque,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
K-TORCE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3285,3370,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
EdixoJoseVas,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3282,3366,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
MffYemaya,-1,-1,-1,1277,-1,1171,-1,-1,-1,-1,-1,-1,3289,3372,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
J34ND3R,-1,1007,-1,1267,-1,-1,-1,-1,-1,1059,1061,-1,3288,3369,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Eduard_bb,1145,-1,1725,1265,1123,1199,-1,1073,-1,-1,1061,-1,3282,3363,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Renesmebel,-1,-1,-1,1265,-1,1173,-1,-1,-1,-1,-1,-1,3289,3361,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
rjpb9124,1949,-1,1009,1265,-1,1173,-1,-1,-1,-1,-1,-1,3282,3363,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
CARLOS530,579,-1,1694,1273,1101,1191,-1,1011,-1,1059,-1,-1,3287,3362,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Only Soft,3751,6568,6585,1275,2615,3842,-1,2617,-1,11126,4131,-1,3290,3378,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Focus_Isa,-1,-1,-1,1273,-1,-1,-1,-1,-1,2902,1061,-1,3287,3370,629,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
cherrylove91,1137,-1,-1,1265,1101,1171,-1,1067,-1,1063,-1,-1,3283,3364,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
PoEsUs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3286,3368,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Cilliax,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3283,3365,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Alejo1305,-1,-1,-1,12297,6184,-1,-1,6185,-1,-1,-1,-1,3282,3363,3873,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Umlaut5,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3283,3369,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Alex L s0,1147,-1,-1,1271,1113,2621,-1,1097,-1,1063,1061,-1,3289,3369,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
ahmad785,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3182,3377,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
1265802,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3180,3371,629,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
1074222,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3183,3372,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
marbe007,-1,-1,-1,1271,-1,-1,-1,-1,-1,-1,-1,-1,3169,3376,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
TestResolve,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3181,3374,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
efe22,1161,1007,1731,1265,1123,1199,-1,1073,-1,-1,-1,-1,3184,3377,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
NS Rickey,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3181,3372,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
CLAYMAN0667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3182,3378,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
BtW fE bRo,579,-1,-1,-1,-1,13660,-1,-1,-1,-1,-1,-1,3176,3366,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
quibble256,-1,-1,-1,1265,-1,1171,-1,-1,-1,-1,-1,-1,3183,3378,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
EB Suzy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3175,3367,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
SandyBongos,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3176,3366,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Didi C,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3183,3378,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
ryoung031892,1155,-1,-1,1299,1103,1189,-1,1067,-1,1059,1061,-1,3180,3371,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
YoungWookiee,1017,1027,-1,1331,1115,1191,-1,1067,-1,-1,1061,-1,3169,3377,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
BITOMOS,1141,-1,-1,1297,-1,1171,-1,-1,-1,-1,-1,-1,3180,3371,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Bird243,1163,4405,1478,1333,1123,1540,-1,1079,-1,-1,1061,-1,3191,3362,4857,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
cosmica runa,-1,-1,-1,12297,-1,13660,-1,-1,-1,1059,1061,-1,3184,3377,3873,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
v bvc,-1,-1,-1,1265,-1,1171,-1,-1,-1,-1,-1,-1,3180,3371,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
governor926,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3183,3378,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Baditt,1141,1019,1009,1299,1109,1173,-1,1067,-1,1063,1061,-1,3181,3372,626,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
blackmachin2,1153,-1,-1,1265,-1,1191,-1,-1,-1,-1,-1,-1,3174,3365,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
6195423,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3182,3371,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
5309859,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3183,3375,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
OmaFloreS,-1,-1,-1,1273,-1,-1,-1,-1,-1,-1,-1,-1,3182,3376,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
themystery25,5529,4325,-1,1387,12449,-1,-1,-1,-1,-1,-1,-1,3176,3366,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
9997297,-1,-1,-1,1265,-1,-1,-1,-1,-1,-1,-1,-1,3193,3377,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
19stealth91,1163,-1,1478,1333,1123,1199,-1,1067,-1,1059,3061,-1,3193,3361,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Nielson508,-1,-1,-1,1265,-1,1171,-1,-1,-1,-1,-1,-1,3183,3378,625,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
Linen Jacqui,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3181,3384,-1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mining
